"Country","latest.year.available","CH4.emissions","CH4.emissions.per.capita","CH4.change.since.1990","N2O.emissions","N2O.emissions.per.capita","N2O.change.since.1990","X","Total_Emissions","Methane_Safety","Nitrous_Oxide_Safety","Overall_Safety","Emission_Ratio","Pollution_Profile","Region"
"Trinidad and Tobago",1990,0.69,0.56,0,0.33,0.27,0,NA,1.02,"Safe","Safe","Safe",2.09027567403817,"Methane-Dominant","Americas"
"Tunisia",2000,5.81,0.6,-7.035,5.76,0.59,-2.29450483983098,NA,11.57,"Safe","Safe","Safe",1.00866304404437,"Balanced Profile","Africa"
"Turkey",2012,61.62,0.82,80.96,14.79,0.2,2.76067476325718,NA,76.41,"Dangerous","Safe","Dangerous",4.1663004306935,"Methane-Dominant","Asia"
"Turkmenistan",2004,33.26,7.08,-7.035,1.78,0.38,-2.29450483983098,NA,35.04,"Safe","Safe","Safe",18.6843435762036,"Methane-Dominant","Asia"
"Tuvalu",1994,0,0.1,-7.035,0,0,-2.29450483983098,NA,0,"Safe","Safe","Safe",0,"Nitrous-Dominant","Oceania"
"Uganda",2000,9.46,0.4,-7.035,16.72,0.7,-2.29450483983098,NA,26.18,"Safe","Safe","Safe",0.565786089796114,"Balanced Profile","Africa"
"Ukraine",2012,66.17,1.46,-59.24,31.37,0.69,-3.59830166805863,NA,97.54,"Dangerous","Dangerous","Dangerous",2.10933340983931,"Methane-Dominant","Europe"
"United Arab Emirates",2005,29.93,9.81,-7.035,6.14,2.01,-2.29450483983098,NA,36.07,"Safe","Safe","Safe",4.87451344440644,"Methane-Dominant","Asia"
"United Kingdom of Great Britain and Northern Ireland",2012,52.78,0.83,-51.6,35.41,0.56,-3.652821987264,NA,88.19,"Dangerous","Dangerous","Dangerous",1.49053518628866,"Balanced Profile","Europe"
"United Republic of Tanzania",1994,21.63,0.75,4.73,14.38,0.5,-1.67268932147384,NA,36.01,"Safe","Safe","Safe",1.50416200165506,"Balanced Profile","Africa"
"United States of America",2012,552.01,1.75,-12.82,395.79,1.26,0.412128529980856,NA,947.8,"Dangerous","Dangerous","Dangerous",1.39470390997653,"Balanced Profile","Americas"
"Uruguay",2004,18.63,5.61,14.95,11.79,3.55,-1.29266081401913,NA,30.42,"Safe","Safe","Safe",1.58013926938703,"Balanced Profile","Americas"
"Uzbekistan",2005,89.43,3.45,57.73,9.97,0.38,-2.83477051271225,NA,99.4,"Dangerous","Safe","Dangerous",8.96981976108565,"Methane-Dominant","Asia"
"Vanuatu",1994,0.24,1.43,-7.035,0.01,0.05,-2.29450483983098,NA,0.25,"Safe","Safe","Safe",23.7623762376238,"Methane-Dominant","Oceania"
"Venezuela (Bolivarian Republic of)",1999,61.92,2.58,-7.035,16.14,0.67,-2.29450483983098,NA,78.06,"Dangerous","Safe","Dangerous",3.83640745720287,"Methane-Dominant","Americas"
"Viet Nam",2010,87.32,0.99,-7.035,32.7,0.37,-2.29450483983098,NA,120.02,"Dangerous","Dangerous","Dangerous",2.67032822529595,"Methane-Dominant","Asia"
"Yemen",2000,4.42,0.25,-7.035,3.77,0.21,-2.29450483983098,NA,8.19,"Safe","Safe","Safe",1.17238269541922,"Balanced Profile","Asia"
"Zambia",2000,6.57,0.62,-7.035,5.33,0.5,-2.29450483983098,NA,11.9,"Safe","Safe","Safe",1.23262227725559,"Balanced Profile","Africa"
